School,Men Basketball,GSR,GSR Percentage,Player Number,School_2,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian University,16,57-e,0.57,9,abilene christian,31,11,20,0.355
Alabama A&M University,1,33-c,0.33,0,alabama a&m,30,14,16,0.4
Alabama State University,13,45-c,0.45,6,alabama,32,13,19,0.618
Arkansas State University,12,50-d,0.5,6,arkansas,34,22,12,0.387
Auburn University,11,62-c,0.62,7,auburn,30,14,16,0.606
Austin Peay State University,13,92-c,0.92,12,austin peay,30,12,18,0.3
Belmont University,13,100-b,1,13,belmont,36,26,10,0.647
Bethune-Cookman University,12,67-d,0.67,8,bethune-cookman,32,7,25,0.594
Binghamton University,13,73-c,0.73,9,binghamton,30,7,23,0.419
Bradley University,13,77-c,0.77,10,bradley,32,12,20,0.684
Brown University,0,100-d,1,0,brown,29,15,14,0.219
Bryant University,13,82-d,0.82,11,bryant,32,18,14,0.233
Bucknell University,12,100-b,1,12,bucknell,30,16,14,0.618
Butler University,16,100-b,1,16,butler,31,14,17,0.25
Campbell University,13,75-c,0.75,10,campbell,32,12,20,0.533
Canisius University,12,71-d,0.71,9,canisius,34,21,13,0.655
Central Michigan University,13,64-c,0.64,8,central michigan,31,10,21,0.406
Charleston Southern University,13,88-b,0.88,11,charleston southern,31,13,18,0.355
Clemson University,13,70-b,0.7,9,clemson,36,23,13,0.6
Colgate University,12,100-b,1,12,colgate,31,13,18,0.276
Cornell University,0,89-d,0.89,0,cornell,28,2,26,0.406
Dartmouth College,14,100-d,1,14,dartmouth,28,12,16,0.639
Davidson College,11,100-c,1,11,davidson,33,20,13,0.636
DePaul University,13,50-c,0.5,7,depaul,33,12,21,0.618
Drake University,16,90-b,0.9,14,drake,31,15,16,0.438
Drexel University,13,100-b,1,13,drexel,30,16,14,0.657
Duquesne University,13,80-b,0.8,10,duquesne,30,13,17,0.618
East Carolina University,14,70-b,0.7,10,east carolina,34,17,17,0.8
Eastern Illinois University,20,93-c,0.93,19,eastern illinois,30,11,19,0.071
Eastern Michigan University,16,59-d,0.59,9,eastern michigan,37,22,15,0.429
Eastern Washington University,12,73-c,0.73,9,eastern washington,31,15,16,0.606
Elon University,17,100-c,1,17,elon,32,18,14,0.703
Fairfield University,11,100-b,1,11,fairfield,32,7,25,0.714
Florida A&M University,13,36-c,0.36,5,florida a&m,32,14,18,0.516
Florida Atlantic University,5,45-c,0.45,2,florida atlantic,32,10,22,0.364
Florida Gulf Coast University,13,62-c,0.62,8,florida gulf coast,35,22,13,0.406
Florida International University,4,55-d,0.55,2,florida international,31,15,16,0.484
Fordham University,13,91-c,0.91,12,fordham,31,10,21,0.743
Furman University,13,100-b,1,13,furman,30,9,21,0.433
Gardner-Webb University,12,82-c,0.82,10,gardner-webb,33,18,15,0.5
George Mason University,13,100-b,1,13,george mason,31,11,20,0.543
Georgetown University,15,70-b,0.7,11,georgetown,33,18,15,0.706
Georgia Southern University,13,63-d,0.63,8,georgia southern,34,15,19,0.484
Georgia State University,14,77-c,0.77,11,georgia,34,20,14,0.563
Grambling State University,10,9-c,0.09,1,grambling,29,5,24,0.219
Grand Canyon University,13,56-d,0.56,7,grand canyon,30,15,15,0.323
Hampton University,16,67-c,0.67,11,hampton,31,18,13,0.923
High Point University,14,73-c,0.73,10,high point,31,16,15,0.313
Hofstra University,10,92-c,0.92,9,hofstra,33,10,23,0.629
Houston Christian University,16,86-c,0.86,14,houston christian,31,6,25,0.484
Howard University,0,50-c,0.5,0,howard,33,8,25,0.611
Idaho State University,13,62-c,0.62,8,idaho,34,16,18,0.323
Illinois State University,11,88-d,0.88,10,illinois,35,20,15,0.538
Indiana State University,13,47-d,0.47,6,indiana,32,17,15,0.3
Iona University,13,60-b,0.6,8,iona,33,22,11,0.727
Jacksonville State University,13,46-c,0.46,6,jacksonville,30,12,18,0.441
Jacksonville University,11,100-a,1,11,jacksonville,30,12,18,0.441
James Madison University,15,50-c,0.5,8,james madison,31,11,20,0.485
La Salle University,13,77-c,0.77,10,la salle,31,15,16,0.774
Lafayette College,12,90-b,0.9,11,lafayette,31,11,20,0.581
Lamar University,14,80-b,0.8,11,lamar,30,4,26,0.515
Lehigh University,13,90-b,0.9,12,lehigh,32,14,18,0.844
Liberty University,13,54-c,0.54,7,liberty,32,11,21,0.645
Lipscomb University,14,75-c,0.75,11,lipscomb,30,15,15,0.516
Longwood University,17,69-c,0.69,12,longwood,32,8,24,0.515
Louisiana Tech University,13,55-c,0.55,7,louisiana tech,37,29,8,0.242
Loyola Marymount University,12,100-b,1,12,loyola marymount,32,13,19,0.471
Marist University,14,73-c,0.73,10,marist,31,12,19,0.194
Marquette University,12,71-c,0.71,9,marquette,32,17,15,0.778
Marshall University,12,63-b,0.63,8,marshall,33,11,22,0.531
Middle Tennessee State University,13,100-c,1,13,middle tennessee,33,24,9,0.188
Mississippi State University,12,50-b,0.5,6,mississippi,33,19,14,0.355
Missouri State University,13,77-c,0.77,10,missouri,35,23,12,0.323
Monmouth University,14,83-c,0.83,12,monmouth,32,11,21,0.355
Niagara University,12,100-b,1,12,niagara,33,7,26,0.355
North Carolina A&T State University,15,38-b,0.38,6,north carolina a&t,32,9,23,0.344
North Dakota State University,13,85-c,0.85,11,north dakota,34,17,17,0.469
Northeastern University,12,100-c,1,12,northeastern,32,11,21,0.31
Northern Arizona University,14,80-c,0.8,11,northern arizona,32,15,17,0.25
Northern Illinois University,13,83-c,0.83,11,northern illinois,32,15,17,0.657
Northern Kentucky University,14,50-e,0.5,7,northern kentucky,30,9,21,0.588
Northwestern State University,14,93-c,0.93,13,northwestern,33,14,19,0.784
Northwestern University,14,82-c,0.82,11,northwestern,33,14,19,0.784
Oakland University,12,92-c,0.92,11,oakland,33,13,20,0.838
Ohio University,13,50-c,0.5,7,ohio,37,25,12,0.313
Old Dominion University,13,73-c,0.73,9,old dominion,36,18,18,0.406
Oral Roberts University,15,62-c,0.62,9,oral roberts,33,17,16,0.207
Pennsylvania State University,13,100-c,1,13,pennsylvania,28,8,20,0.387
Pepperdine University,12,57-b,0.57,7,pepperdine,31,15,16,0.531
Portland State University,6,88-d,0.88,5,portland,31,15,16,0.333
Presbyterian College,11,88-b,0.88,10,presbyterian,32,6,26,0.3
Princeton University,0,100-d,1,0,princeton,30,21,9,0.2
Purdue University,1,73-c,0.73,1,purdue,32,15,17,0.357
Purdue University Fort Wayne,13,69-c,0.69,9,purdue fort wayne,36,25,11,0.355
Quinnipiac University,13,73-c,0.73,9,quinnipiac,32,20,12,0.706
Radford University,12,86-c,0.86,10,radford,35,22,13,0.75
Rice University,13,83-c,0.83,11,rice,30,7,23,0.515
Rider University,13,100-c,1,13,rider,31,14,17,0.419
Robert Morris University,12,54-c,0.54,6,robert morris,36,22,14,0.757
Sacred Heart University,13,100-c,1,13,sacred heart,31,5,26,0.6
Saint Peter's University,13,67-c,0.67,9,saint peter's,31,14,17,0.657
Sam Houston State University,13,100-b,1,13,sam houston,35,24,11,0.606
Samford University,13,63-d,0.63,8,samford,33,13,20,0.344
San Diego State University,14,36-c,0.36,5,san diego,35,18,17,0.567
Santa Clara University,13,69-c,0.69,9,santa clara,33,14,19,0.588
Seattle University,14,78-b,0.78,11,seattle,30,13,17,0.485
Seton Hall University,13,82-c,0.82,11,seton hall,34,17,17,0.676
Siena College,12,92-c,0.92,11,siena,38,20,18,0.3
South Carolina State University,13,58-c,0.58,8,south carolina,34,14,20,0.611
South Dakota State University,13,63-d,0.63,8,south dakota,30,12,18,0.594
Southeastern Louisiana University,14,58-c,0.58,8,southeastern louisiana,30,12,18,0.606
Southern Methodist University,11,45-c,0.45,5,southern methodist,37,27,10,0.722
Southern Utah University,15,70-b,0.7,11,southern utah,29,2,27,0.212
St. Bonaventure University,13,83-c,0.83,11,st. bonaventure,33,18,15,0.483
Stetson University,16,63-b,0.63,10,stetson,31,7,24,0.824
Stony Brook University,14,45-c,0.45,6,stony brook,34,23,11,0.5
Temple University,12,50-c,0.5,6,temple,31,9,22,0.5
Texas A&M University-Corpus Christi,13,46-c,0.46,6,texas a&m-corpus christi,34,18,16,0.469
Texas Tech University,9,70-b,0.7,6,texas tech,32,14,18,0.424
The Citadel,12,53-c,0.53,6,the citadel,33,7,26,0.548
Towson University,13,87-c,0.87,11,towson,36,25,11,0.5
Troy University,13,100-c,1,13,troy,31,11,20,0.531
Tulane University,13,81-d,0.81,11,tulane,34,17,17,0.515
Utah State University,4,50-b,0.5,2,utah,33,21,12,0.743
Utah Valley University,12,90-b,0.9,11,utah valley,32,20,12,0.629
Valparaiso University,11,82-c,0.82,9,valparaiso,34,18,16,0.29
Vanderbilt University,9,100-b,1,9,vanderbilt,31,15,16,0.613
Wagner College,12,80-b,0.8,10,wagner,31,19,12,0.515
Wake Forest University,13,71-c,0.71,9,wake forest,33,17,16,0.559
Washington State University,14,85-c,0.85,12,washington,32,17,15,0.333
West Virginia University,11,80-c,0.8,9,west virginia,33,17,16,0.697
Western Carolina University,13,72-d,0.72,9,western carolina,34,19,15,0.972
Western Illinois University,12,87-c,0.87,10,western illinois,30,10,20,0.625
Western Kentucky University,13,100-b,1,13,western kentucky,32,20,12,0.606
William & Mary,14,100-c,1,14,william & mary,32,20,12,0.583
Winthrop University,17,91-c,0.91,15,winthrop,33,20,13,0.545