School,Basketball Player #,GSR,GSR Percentage,Graduation Rate,School Checked,Overall Games,Overall Wins,Overall Losses,W-L%
Abilene Christian University,14,100-c,1,14,Abilene Christian,30,14,16,0.467
Alabama A&M University,12,80-c,0.8,10,Alabama A&M,31,15,16,0.469
American University,12,92-c,0.92,11,American,30,10,20,0.484
Arkansas State University,14,84-d,0.84,12,Arkansas,33,18,15,0.375
Austin Peay State University,7,94-d,0.94,7,Austin Peay,33,17,16,0.531
Belmont University,12,93-c,0.93,11,Belmont,35,26,9,0.545
Bethune-Cookman University,3,92-c,0.92,3,Bethune-Cookman,31,15,16,0.433
Binghamton University,15,100-c,1,15,Binghamton,31,14,17,0.515
Bradley University,14,100-c,1,14,Bradley,32,6,26,0.765
Brigham Young University,10,86-c,0.86,9,Brigham Young,33,16,17,0.345
Brown University,0,100-d,1,0,Brown,27,16,11,0.743
Bryant University,14,100-c,1,14,Bryant,30,15,15,0.484
Bucknell University,12,100-c,1,12,Bucknell,31,13,18,0.452
Butler University,14,88-d,0.88,12,Butler,32,15,17,0.6
Campbell University,13,100-c,1,13,Campbell,31,17,14,0.419
Canisius University,8,100-c,1,8,Canisius,31,17,14,0.576
Central Michigan University,16,100-c,1,16,Central Michigan,28,6,22,0.548
Charleston Southern University,12,81-d,0.81,10,Charleston Southern,30,11,19,0.276
Clemson University,13,95-d,0.95,12,Clemson,31,12,19,0.1
Coastal Carolina University,15,87-c,0.87,13,Coastal Carolina,33,12,21,0.875
Colgate University,14,100-c,1,14,Colgate,34,20,14,0.548
Cornell University,0,94-d,0.94,0,Cornell,26,7,19,0.516
Dartmouth College,5,100-d,1,5,Dartmouth,26,7,19,0.037
Davidson College,13,100-c,1,13,Davidson,26,18,8,0.438
DePaul University,13,83-e,0.83,11,DePaul,32,12,20,0.387
Delaware State University,11,100-c,1,11,Delaware,31,11,20,0.829
Duquesne University,14,100-c,1,14,Duquesne,34,21,13,0.706
East Carolina University,14,93-c,0.93,13,East Carolina,33,19,14,0.645
Eastern Illinois University,15,100-b,1,15,Eastern Illinois,33,15,18,0.846
Eastern Kentucky University,13,100-c,1,13,Eastern Kentucky,34,22,12,0.4
Eastern Michigan University,14,100-c,1,14,Eastern Michigan,29,7,22,0.269
Elon University,0,100-b,1,0,Elon,32,11,21,0.269
Florida A&M University,12,64-c,0.64,8,Florida A&M,30,9,21,0.355
Florida Atlantic University,10,92-c,0.92,9,Florida Atlantic,30,11,19,0.286
Florida International University,9,93-c,0.93,8,Florida International,33,21,12,0.375
Florida State University,11,90-b,0.9,10,Florida,32,16,16,0.515
Fordham University,8,85-c,0.85,7,Fordham,29,12,17,0.829
Furman University,13,100-b,1,13,Furman,31,15,16,0.559
Gardner-Webb University,13,92-c,0.92,12,Gardner-Webb,30,6,24,0.647
George Mason University,14,100-c,1,14,George Mason,31,23,8,0.618
George Washington University,15,92-c,0.92,14,George Washington,31,13,18,0.576
Georgetown University,14,100-b,1,14,Georgetown,35,23,12,0.6
Georgia Southern University,15,93-c,0.93,14,Georgia Southern,33,15,18,0.455
Georgia State University,13,77-c,0.77,10,Georgia,30,12,18,0.647
Grambling State University,14,89-d,0.89,12,Grambling,33,23,10,0.829
Grand Canyon University,14,78-b,0.78,11,Grand Canyon,32,24,8,0.344
Hampton University,15,70-b,0.7,11,Hampton,29,3,26,0.125
Harvard University,0,100-d,1,0,Harvard,28,16,12,0.939
High Point University,16,100-c,1,16,High Point,32,20,12,0.452
Hofstra University,13,100-c,1,13,Hofstra,32,11,21,0.5
Houston Christian University,13,100-d,1,13,Houston Christian,29,6,23,0.3
Howard University,15,76-d,0.76,11,Howard,31,15,16,0.367
Idaho State University,14,100-c,1,14,Idaho,31,15,16,0.853
Illinois State University,13,91-c,0.91,12,Illinois,34,19,15,0.636
Iona University,14,83-c,0.83,12,Iona,30,11,19,0.484
Jacksonville State University,13,94-d,0.94,12,Jacksonville,31,11,20,0.419
Jacksonville University,12,89-d,0.89,11,Jacksonville,31,11,20,0.419
James Madison University,13,92-c,0.92,12,James Madison,35,23,12,0.4
La Salle University,15,100-c,1,15,La Salle,30,8,22,0.889
Lafayette College,14,100-c,1,14,Lafayette,30,10,20,0.697
Lamar University,16,93-c,0.93,15,Lamar,31,24,7,0.75
Lehigh University,14,100-c,1,14,Lehigh,30,17,13,0.794
Liberty University,17,100-c,1,17,Liberty,34,18,16,0.103
Lipscomb University,13,100-d,1,13,Lipscomb,30,17,13,0.571
Longwood University,13,100-c,1,13,Longwood,30,9,21,0.344
Louisiana State University,11,100-d,1,11,Louisiana,31,17,14,0.618
Louisiana Tech University,13,85-c,0.85,11,Louisiana Tech,33,14,19,0.467
Loyola Marymount University,10,100-c,1,10,Loyola Marymount,30,11,19,0.207
Manhattan University,10,100-c,1,10,Manhattan,30,18,12,0.367
Marist University,13,100-c,1,13,Marist,31,6,25,0.559
Mercer University,13,100-c,1,13,Mercer,32,15,17,0.813
Merrimack College,12,90-b,0.9,11,Merrimack,31,12,19,0.344
Missouri State University,13,92-c,0.92,12,Missouri,30,11,19,0.355
Monmouth University,14,100-c,1,14,Monmouth,32,22,10,0.414
Mount St. Mary's University,12,92-c,0.92,11,Mount St. Mary's,31,14,17,0.765
New Mexico State University,15,88-d,0.88,13,New Mexico,32,21,11,0.375
Niagara University,12,100-c,1,12,Niagara,35,21,14,0.267
North Carolina A&T State University,13,87-c,0.87,11,North Carolina A&T,34,22,12,0.545
North Carolina Central University,13,94-d,0.94,12,North Carolina Central,31,16,15,0.567
North Dakota State University,13,100-b,1,13,North Dakota,30,9,21,0.25
Northeastern University,14,100-c,1,14,Northeastern,27,10,17,0.567
Northern Arizona University,14,79-c,0.79,11,Northern Arizona,35,25,10,0.4
Northern Illinois University,15,93-c,0.93,14,Northern Illinois,31,15,16,0.455
Northern Kentucky University,13,100-b,1,13,Northern Kentucky,31,11,20,0.267
Northwestern State University,15,94-d,0.94,14,Northwestern,30,9,21,0.3
Northwestern University,12,100-c,1,12,Northwestern,30,9,21,0.3
Oakland University,15,88-d,0.88,13,Oakland,29,12,17,0.838
Ohio University,15,100-b,1,15,Ohio,30,11,19,0.424
Old Dominion University,15,100-b,1,15,Old Dominion,32,22,10,0.706
Oral Roberts University,13,90-b,0.9,12,Oral Roberts,32,21,11,0.484
Oregon State University,11,90-b,0.9,10,Oregon,32,11,21,0.516
Pennsylvania State University,13,100-b,1,13,Pennsylvania,28,15,13,0.367
Pepperdine University,16,88-d,0.88,14,Pepperdine,30,5,25,0.706
Providence College,15,100-c,1,15,Providence,34,13,21,0.576
Purdue University,13,86-c,0.86,11,Purdue,34,15,19,0.345
Purdue University Fort Wayne,12,80-c,0.8,10,Purdue Fort Wayne,36,23,13,0.5
Quinnipiac University,14,100-c,1,14,Quinnipiac,31,13,18,0.156
Radford University,14,100-c,1,14,Radford,33,15,18,0.138
Rider University,13,100-c,1,13,Rider,31,10,21,0.433
Robert Morris University,13,100-c,1,13,Robert Morris,30,6,24,0.469
Saint Joseph's University,10,100-c,1,10,Saint Joseph's,34,28,6,0.588
Saint Louis University,13,100-c,1,13,Saint Louis,40,22,18,0.71
Saint Peter's University,15,100-b,1,15,Saint Peter's,30,7,23,0.5
Sam Houston State University,13,89-d,0.89,12,Sam Houston,29,7,22,0.556
Samford University,10,100-c,1,10,Samford,30,14,16,0.727
San Diego State University,13,100-c,1,13,San Diego,31,9,22,0.657
Santa Clara University,13,93-c,0.93,12,Santa Clara,34,25,9,0.367
Seattle University,11,100-c,1,11,Seattle,29,6,23,0.697
Seton Hall University,9,100-b,1,9,Seton Hall,32,17,15,0.688
Siena College,15,100-c,1,15,Siena,30,18,12,0.697
South Dakota State University,14,100-c,1,14,South Dakota,36,23,13,0.5
Southeastern Louisiana University,13,100-c,1,13,Southeastern Louisiana,31,19,12,0.452
Southern Methodist University,13,83-c,0.83,11,Southern Methodist,30,14,16,0.816
Southern Utah University,11,75-b,0.75,8,Southern Utah,30,8,22,0.5
St. Bonaventure University,10,100-c,1,10,St. Bonaventure,30,4,26,0.909
Stephen F. Austin State University,14,86-c,0.86,12,Stephen F. Austin,34,22,12,0.419
Stetson University,12,93-c,0.93,11,Stetson,32,17,15,0.367
Stony Brook University,12,100-d,1,12,Stony Brook,33,28,5,0.6
Temple University,12,89-b,0.89,11,Temple,32,20,12,0.4
Texas Southern University,13,82-d,0.82,11,Texas Southern,29,7,22,0.3
Texas Tech University,13,94-d,0.94,12,Texas Tech,33,17,16,0.3
Towson University,16,100-c,1,16,Towson,31,20,11,0.3
Troy University,13,95-d,0.95,12,Troy,34,22,12,0.367
Tulane University,11,100-c,1,11,Tulane,32,12,20,0.8
Utah Valley University,14,91-c,0.91,13,Utah Valley,29,10,19,0.167
Valparaiso University,13,100-c,1,13,Valparaiso,30,5,25,0.563
Villanova University,13,100-c,1,13,Villanova,35,22,13,0.387
Virginia Commonwealth University,15,92-c,0.92,14,Virginia Commonwealth,32,26,6,0.545
Wagner College,15,100-b,1,15,Wagner,28,7,21,0.676
Wake Forest University,10,100-c,1,10,Wake Forest,32,7,25,0.629
Washington State University,14,93-c,0.93,13,Washington,31,16,15,0.5
Western Carolina University,15,100-c,1,15,Western Carolina,30,6,24,0.25
Western Illinois University,12,89-b,0.89,11,Western Illinois,30,18,12,0.219
Western Kentucky University,12,92-c,0.92,11,Western Kentucky,32,15,17,0.516
Western Michigan University,13,93-c,0.93,12,Western Michigan,30,12,18,0.583
William & Mary,15,100-c,1,15,William & Mary,29,15,14,0.758
Winthrop University,14,87-c,0.87,12,Winthrop,30,14,16,0.2
Wofford College,13,73-c,0.73,9,Wofford,30,17,13,0.6
Xavier University,15,85-c,0.85,13,Xavier,28,1,27,0.4
Yale University,0,100-d,1,0,Yale,27,8,19,0.313