School,GSR,GSR Percentage,School_2,Overall G,Overall W,Overall L,Overall W-L%,Unnamed: 8,Win Category
Saint Peter's University,100-a,1.0,Saint Peter's NCAA,33.0,19.0,14.0,0.576,,3.0
Sam Houston State University,89-b,0.89,Sam Houston,33.0,21.0,12.0,0.636,,4.0
Samford University,100-c,1.0,Samford NCAA,35.0,29.0,6.0,0.829,,4.0
San Diego State University,73-c,0.73,Samford NCAA,35.0,29.0,6.0,0.829,,2.0
San Jose State University,85-c,0.85,San Diego State NCAA,37.0,26.0,11.0,0.703,,4.0
Santa Clara University,100-b,1.0,Santa Clara,33.0,20.0,13.0,0.606,,3.0
Seattle University,100-b,1.0,Seattle,37.0,23.0,14.0,0.622,,2.0
Seton Hall University,100-c,1.0,Seton Hall,37.0,25.0,12.0,0.676,,5.0
Siena College,75-b,0.75,Siena,32.0,4.0,28.0,0.125,,1.0
South Carolina State University,100-b,1.0,South Carolina State,32.0,14.0,18.0,0.438,,4.0
South Dakota State University,100-b,1.0,South Dakota State NCAA,35.0,22.0,13.0,0.629,,2.0
Southeast Missouri State University,86-c,0.86,Southeast Missouri State,31.0,9.0,22.0,0.29,,4.0
Southeastern Louisiana University,100-b,1.0,Southeastern Louisiana,32.0,15.0,17.0,0.469,,5.0
Southern Illinois University at Carbondale,100-c,1.0,Southern Illinois,32.0,19.0,13.0,0.594,,3.0
Southern Illinois University Edwardsville,92-c,0.92,SIU Edwardsville,33.0,17.0,16.0,0.515,,3.0
Southern Methodist University,80-b,0.8,Southern Methodist,33.0,20.0,13.0,0.606,,4.0
Southern University Baton Rouge,55-c,0.55,Southern,32.0,18.0,14.0,0.563,,5.0
Southern Utah University,82-c,0.82,Southern Utah,31.0,10.0,21.0,0.323,,3.0
St. Bonaventure University,88-b,0.88,St. Bonaventure,33.0,20.0,13.0,0.606,,1.0
St. John's University (New York),77-c,0.77,St. John's (NY),33.0,20.0,13.0,0.606,,2.0
Stanford University,100-c,1.0,Stanford,32.0,14.0,18.0,0.438,,3.0
Stephen F. Austin State University,63-d,0.63,Stephen F. Austin,33.0,18.0,15.0,0.545,,1.0
Stetson University,60-b,0.6,Stetson NCAA,35.0,22.0,13.0,0.629,,2.0
Stony Brook University,92-c,0.92,Stony Brook,35.0,20.0,15.0,0.571,,2.0
Syracuse University,67-b,0.67,Syracuse,32.0,20.0,12.0,0.625,,4.0
Temple University,100-c,1.0,Temple,36.0,16.0,20.0,0.444,,3.0
Tennessee State University,89-d,0.89,Tennessee State,33.0,18.0,15.0,0.545,,3.0
Tennessee Technological University,100-b,1.0,Tennessee Tech,31.0,10.0,21.0,0.323,,2.0
Texas A&M University College Station,67-c,0.67,Texas A&M NCAA,36.0,21.0,15.0,0.583,,2.0
Texas A&M University-Corpus Christi,77-c,0.77,Texas A&M-Corpus Christi,33.0,21.0,12.0,0.636,,4.0
Texas Christian University,55-c,0.55,TCU NCAA,34.0,21.0,13.0,0.618,,3.0
Texas Southern University,100-b,1.0,Texas Southern,33.0,16.0,17.0,0.485,,3.0
Texas State University,100-c,1.0,Texas State,35.0,17.0,18.0,0.486,,1.0
Texas Tech University,78-b,0.78,Texas Tech NCAA,34.0,23.0,11.0,0.676,,3.0
The Citadel,55-c,0.55,The Citadel,32.0,11.0,21.0,0.344,,2.0
The Ohio State University,64-c,0.64,Ohio State,36.0,22.0,14.0,0.611,,3.0
The University of North Carolina at Charlotte,83-b,0.83,Charlotte,31.0,19.0,12.0,0.613,*,4.0
The University of North Carolina at Greensboro,100-c,1.0,UNC Greensboro,32.0,21.0,11.0,0.656,,2.0
The University of Southern Mississippi,58-c,0.58,Southern Mississippi,32.0,16.0,16.0,0.5,,2.0
The University of Texas Rio Grande Valley,71-d,0.71,Texas-Rio Grande Valley,31.0,6.0,25.0,0.194,,2.0
The University of Tulsa,61-d,0.61,Tulsa,31.0,16.0,15.0,0.516,,4.0
Towson University,91-c,0.91,Towson,34.0,20.0,14.0,0.588,,3.0
Troy University,92-c,0.92,Troy,32.0,20.0,12.0,0.625,,3.0
Tulane University,100-c,1.0,Tulane,31.0,14.0,17.0,0.452,,3.0
U.S. Air Force Academy,88-e,0.88,Air Force,31.0,9.0,22.0,0.29,,2.0
U.S. Military Academy,95-d,0.95,Army,32.0,10.0,22.0,0.313,,3.0
U.S. Naval Academy,93-c,0.93,Navy,31.0,13.0,18.0,0.419,,4.0
University at Albany,76-d,0.76,Albany (NY),32.0,13.0,19.0,0.406,,2.0
University at Buffalo the State University of New York,94-d,0.94,Buffalo,31.0,4.0,27.0,0.129,,3.0
University of Akron,83-c,0.83,Akron NCAA,35.0,24.0,11.0,0.686,,3.0
University of Alabama,100-c,1.0,Alabama NCAA,37.0,25.0,12.0,0.676,,3.0
University of Alabama at Birmingham,88-d,0.88,UAB NCAA,35.0,23.0,12.0,0.657,*,3.0
University of Arizona,58-c,0.58,Arizona NCAA,36.0,27.0,9.0,0.75,,3.0
University of Arkansas at Little Rock,64-c,0.64,Little Rock,34.0,21.0,13.0,0.618,,3.0
University of Arkansas Fayetteville,60-b,0.6,Arkansas,33.0,16.0,17.0,0.485,,3.0
University of Arkansas Pine Bluff,78-d,0.78,Arkansas-Pine Bluff,31.0,13.0,18.0,0.419,,2.0
University of California Berkeley,71-b,0.71,California,32.0,13.0,19.0,0.406,,2.0
University of California Davis,91-c,0.91,UC Davis,33.0,20.0,13.0,0.606,,3.0
University of California Irvine,82-c,0.82,UC Irvine,34.0,24.0,10.0,0.706,,3.0
University of California Los Angeles,63-b,0.63,UCLA,33.0,16.0,17.0,0.485,,2.0
University of California Riverside,71-c,0.71,UC Riverside,34.0,16.0,18.0,0.471,,3.0
University of California Santa Barbara,82-c,0.82,UC Santa Barbara,31.0,16.0,15.0,0.516,,3.0
University of Central Arkansas,100-c,1.0,Central Arkansas,32.0,9.0,23.0,0.281,,2.0
University of Central Florida,87-c,0.87,UCF,33.0,17.0,16.0,0.515,,1.0
University of Cincinnati,89-b,0.89,Cincinnati,37.0,22.0,15.0,0.595,,4.0
University of Colorado Boulder,69-c,0.69,Colorado NCAA,37.0,26.0,11.0,0.703,,4.0
University of Connecticut,91-c,0.91,Connecticut NCAA,40.0,37.0,3.0,0.925,,4.0
University of Dayton,90-b,0.9,Dayton NCAA,33.0,25.0,8.0,0.758,,3.0
University of Delaware,83-c,0.83,Delaware,33.0,19.0,14.0,0.576,,5.0
University of Denver,100-b,1.0,Denver,34.0,17.0,17.0,0.5,,3.0
University of Detroit Mercy,57-c,0.57,Detroit Mercy,32.0,1.0,31.0,0.031,,3.0
University of Evansville,92-c,0.92,Evansville,35.0,17.0,18.0,0.486,,2.0
University of Florida,100-b,1.0,Florida NCAA,36.0,24.0,12.0,0.667,,3.0
University of Georgia,50-b,0.5,Georgia,37.0,20.0,17.0,0.541,,3.0
University of Hartford,,,,,,,,,3.0
University of Hawaii Manoa,67-c,0.67,Hawaii,34.0,20.0,14.0,0.588,,1.0
University of Houston,90-b,0.9,Houston NCAA,37.0,32.0,5.0,0.865,,2.0
University of Idaho,91-c,0.91,Idaho,32.0,11.0,21.0,0.344,,4.0
University of Illinois Chicago,86-c,0.86,Illinois-Chicago,33.0,12.0,21.0,0.364,,3.0
University of Illinois Urbana-Champaign,80-b,0.8,,,,,,,2.0
University of Iowa,89-b,0.89,Iowa,34.0,19.0,15.0,0.559,,2.0
University of Kansas,82-c,0.82,Kansas NCAA,34.0,23.0,11.0,0.676,,2.0
University of Kentucky,100-a,1.0,Kentucky NCAA,33.0,23.0,10.0,0.697,,4.0
University of Louisiana at Lafayette,89-b,0.89,Louisiana,33.0,19.0,14.0,0.576,,3.0
University of Louisiana Monroe,95-e,0.95,Louisiana-Monroe,30.0,11.0,19.0,0.367,,3.0
University of Louisville,100-b,1.0,Louisville,32.0,8.0,24.0,0.25,,5.0
University of Maine,81-d,0.81,Maine,32.0,15.0,17.0,0.469,,5.0
University of Maryland Baltimore County,86-c,0.86,Maryland-Baltimore County,32.0,11.0,21.0,0.344,,3.0
University of Maryland College Park,64-c,0.64,Maryland,33.0,16.0,17.0,0.485,,2.0
University of Maryland Eastern Shore,73-c,0.73,Maryland-Eastern Shore,29.0,9.0,20.0,0.31,,3.0
University of Massachusetts Amherst,85-c,0.85,Massachusetts,31.0,20.0,11.0,0.645,,3.0
University of Massachusetts Lowell,89-b,0.89,Massachusetts-Lowell,32.0,22.0,10.0,0.688,,2.0
University of Memphis,64-c,0.64,Memphis,32.0,22.0,10.0,0.688,,4.0
University of Miami (Florida),92-c,0.92,Miami (FL),32.0,15.0,17.0,0.469,,4.0
University of Michigan,100-b,1.0,Michigan,32.0,8.0,24.0,0.25,,2.0
University of Minnesota Twin Cities,92-c,0.92,Minnesota,34.0,19.0,15.0,0.559,,4.0
University of Mississippi,89-b,0.89,Mississippi,32.0,20.0,12.0,0.625,,2.0
University of Missouri Columbia,78-b,0.78,Missouri,32.0,8.0,24.0,0.25,,1.0
University of Missouri-Kansas City,82-c,0.82,Kansas City,32.0,16.0,16.0,0.5,,3.0
University of Montana,82-c,0.82,Montana,36.0,24.0,12.0,0.667,,4.0
University of Nebraska at Omaha,100-c,1.0,Omaha,33.0,15.0,18.0,0.455,,2.0
University of Nebraska-Lincoln,92-c,0.92,Nebraska NCAA,34.0,23.0,11.0,0.676,,4.0
University of Nevada Las Vegas,92-c,0.92,Nevada-Las Vegas,34.0,21.0,13.0,0.618,,3.0
University of Nevada Reno,100-b,1.0,Nevada NCAA,34.0,26.0,8.0,0.765,,4.0
University of New Hampshire,90-b,0.9,New Hampshire,31.0,16.0,15.0,0.516,,2.0
University of New Mexico,91-c,0.91,New Mexico NCAA,36.0,26.0,10.0,0.722,,5.0
University of New Orleans,83-c,0.83,New Orleans,33.0,10.0,23.0,0.303,,4.0
University of North Alabama,50-d,0.5,North Alabama,32.0,15.0,17.0,0.469,,4.0
University of North Carolina Asheville,73-c,0.73,UNC Asheville,34.0,22.0,12.0,0.647,,2.0
University of North Carolina Chapel Hill,82-c,0.82,North Carolina NCAA,37.0,29.0,8.0,0.784,,3.0
University of North Carolina Wilmington,83-c,0.83,UNC Wilmington,31.0,21.0,10.0,0.677,*,3.0
University of North Dakota,67-c,0.67,North Dakota,32.0,18.0,14.0,0.563,,1.0
University of North Florida,100-b,1.0,North Florida,32.0,16.0,16.0,0.5,,2.0
University of North Texas,92-c,0.92,North Texas,34.0,19.0,15.0,0.559,,4.0
University of Northern Colorado,86-b,0.86,Northern Colorado,33.0,19.0,14.0,0.576,,3.0
University of Northern Iowa,100-c,1.0,Northern Iowa,33.0,19.0,14.0,0.576,,4.0
University of Notre Dame,100-b,1.0,Notre Dame,33.0,13.0,20.0,0.394,,2.0
University of Oklahoma,86-c,0.86,Oklahoma,32.0,20.0,12.0,0.625,,2.0
University of Oregon,50-c,0.5,Oregon NCAA,36.0,24.0,12.0,0.667,,1.0
University of Pennsylvania,100-e,1.0,Pennsylvania,29.0,11.0,18.0,0.379,,4.0
University of Pittsburgh,88-b,0.88,Pittsburgh,33.0,22.0,11.0,0.667,,3.0
University of Portland,82-c,0.82,Portland,33.0,12.0,21.0,0.364,,4.0
University of Rhode Island,92-c,0.92,Rhode Island,32.0,12.0,20.0,0.375,,
University of Richmond,100-b,1.0,Richmond,33.0,23.0,10.0,0.697,,3.0
University of San Diego,100-c,1.0,San Diego,33.0,18.0,15.0,0.545,,2.0
University of San Francisco,100-c,1.0,San Francisco,34.0,23.0,11.0,0.676,,3.0
University of South Alabama,79-c,0.79,South Alabama,32.0,16.0,16.0,0.5,,1.0
University of South Carolina Columbia,75-b,0.75,South Carolina NCAA,34.0,26.0,8.0,0.765,,1.0
University of South Carolina Upstate,100-b,1.0,South Carolina Upstate,30.0,10.0,20.0,0.333,,3.0
University of South Dakota,100-b,1.0,South Dakota,32.0,12.0,20.0,0.375,,2.0
University of South Florida,92-c,0.92,South Florida,33.0,25.0,8.0,0.758,,3.0
University of Southern California,90-b,0.9,Southern California,33.0,15.0,18.0,0.455,,1.0
University of Tennessee at Chattanooga,77-c,0.77,Chattanooga,33.0,21.0,12.0,0.636,,4.0
University of Tennessee at Martin,91-c,0.91,Tennessee-Martin,32.0,21.0,11.0,0.656,,3.0
University of Tennessee Knoxville,100-b,1.0,Tennessee NCAA,36.0,27.0,9.0,0.75,,2.0
University of Texas at Arlington,100-c,1.0,UT Arlington,34.0,20.0,14.0,0.588,,3.0
University of Texas at Austin,64-c,0.64,Texas NCAA,34.0,21.0,13.0,0.618,,1.0
University of Texas at El Paso,80-b,0.8,UTEP,34.0,18.0,16.0,0.529,,2.0
University of Texas at San Antonio,81-d,0.81,UTSA,32.0,11.0,21.0,0.344,,3.0
University of the Incarnate Word,58-c,0.58,Incarnate Word,31.0,8.0,23.0,0.258,,3.0
University of the Pacific,69-d,0.69,Pacific,32.0,6.0,26.0,0.188,,2.0
University of Toledo,100-b,1.0,Toledo,32.0,20.0,12.0,0.625,,3.0
University of Utah,67-a,0.67,Vermont NCAA,35.0,28.0,7.0,0.8,,3.0
University of Vermont,100-c,1.0,Vermont NCAA,35.0,28.0,7.0,0.8,,3.0
University of Virginia,80-b,0.8,Virginia NCAA,34.0,23.0,11.0,0.676,,5.0
University of Washington,100-b,1.0,Washington,32.0,17.0,15.0,0.531,,4.0
University of Wisconsin-Green Bay,100-c,1.0,Green Bay,32.0,18.0,14.0,0.563,,5.0
University of Wisconsin-Madison,82-c,0.82,Wisconsin NCAA,36.0,22.0,14.0,0.611,,2.0
University of Wisconsin-Milwaukee,83-c,0.83,Milwaukee,35.0,20.0,15.0,0.571,,2.0
University of Wyoming,82-c,0.82,Wyoming,32.0,15.0,17.0,0.469,,1.0
Utah State University,73-c,0.73,Utah State NCAA,35.0,28.0,7.0,0.8,,2.0
Utah Valley University,92-c,0.92,Utah Valley,32.0,16.0,16.0,0.5,,4.0
Valparaiso University,86-c,0.86,Valparaiso,32.0,7.0,25.0,0.219,,4.0
Vanderbilt University,100-c,1.0,Vanderbilt,32.0,9.0,23.0,0.281,,3.0
Villanova University,100-b,1.0,Villanova,34.0,18.0,16.0,0.529,,4.0
Virginia Commonwealth University,100-c,1.0,Virginia Commonwealth,38.0,24.0,14.0,0.632,,2.0
Virginia Military Institute,100-b,1.0,VMI,32.0,4.0,28.0,0.125,,4.0
Virginia Polytechnic Institute and State University,100-b,1.0,Virginia Tech,34.0,19.0,15.0,0.559,,2.0
Wagner College,100-b,1.0,Wagner NCAA,33.0,17.0,16.0,0.515,,3.0
Wake Forest University,80-a,0.8,Wake Forest,35.0,21.0,14.0,0.6,,3.0
Washington State University,100-c,1.0,Washington State NCAA,35.0,25.0,10.0,0.714,,4.0
Weber State University,70-b,0.7,Weber State,32.0,20.0,12.0,0.625,,3.0
West Virginia University,100-c,1.0,West Virginia,32.0,9.0,23.0,0.281,,3.0
Western Carolina University,90-b,0.9,Western Carolina,32.0,22.0,10.0,0.688,,3.0
Western Illinois University,87-c,0.87,Western Illinois,33.0,21.0,12.0,0.636,,3.0
Western Kentucky University,69-c,0.69,Western Kentucky NCAA,34.0,22.0,12.0,0.647,,5.0
Western Michigan University,86-c,0.86,Western Michigan,32.0,12.0,20.0,0.375,,4.0
Wichita State University,60-b,0.6,Wichita State,34.0,15.0,19.0,0.441,,3.0
William & Mary,100-b,1.0,William & Mary,33.0,10.0,23.0,0.303,,
Winthrop University,82-c,0.82,Winthrop,32.0,17.0,15.0,0.531,,
Wofford College,91-c,0.91,Wofford,32.0,17.0,15.0,0.531,,
Wright State University,89-b,0.89,Wright State,32.0,18.0,14.0,0.563,,
Xavier University,70-b,0.7,Xavier,34.0,16.0,18.0,0.471,,
Yale University,100-d,1.0,Yale NCAA,33.0,23.0,10.0,0.697,,
Youngstown State University,82-c,0.82,Youngstown State,32.0,22.0,10.0,0.688,,
