School,Overall G,Overall W,Overall L,Overall W-L%
Abilene Christian,31,11,20,0.355
Air Force,30,12,18,0.4
Akron,34,21,13,0.618
Alabama,32,13,19,0.406
Alabama A&M,30,14,16,0.467
Alabama State,32,19,13,0.594
Albany (NY) NCAA,34,19,15,0.559
Alcorn State,31,12,19,0.387
American NCAA,33,20,13,0.606
Appalachian State,30,9,21,0.3
Arizona NCAA,38,33,5,0.868
Arizona State NCAA,33,21,12,0.636
Arkansas,34,22,12,0.647
Arkansas State,32,19,13,0.594
Arkansas-Pine Bluff,31,13,18,0.419
Army,31,15,16,0.484
Auburn,30,14,16,0.467
Austin Peay,30,12,18,0.4
Ball State,30,5,25,0.167
Baylor NCAA,38,26,12,0.684
Belmont,36,26,10,0.722
Bethune-Cookman,32,7,25,0.219
Binghamton,30,7,23,0.233
Boise State,34,21,13,0.618
Boston College,32,8,24,0.25
Boston University,35,24,11,0.686
Bowling Green State,32,12,20,0.375
Bradley,32,12,20,0.375
Brigham Young NCAA,35,23,12,0.657
Brown,29,15,14,0.517
Bryant,32,18,14,0.563
Bucknell,30,16,14,0.533
Buffalo,29,19,10,0.655
Butler,31,14,17,0.452
Cal Poly NCAA,34,14,20,0.412
Cal State Bakersfield,32,13,19,0.406
Cal State Fullerton,31,11,20,0.355
Cal State Northridge,35,17,18,0.486
California,35,21,14,0.6
Campbell,32,12,20,0.375
Canisius,34,21,13,0.618
Central Arkansas,29,8,21,0.276
Central Connecticut State,30,11,19,0.367
Central Michigan,31,10,21,0.323
Charleston Southern,31,13,18,0.419
Charlotte,31,17,14,0.548
Chattanooga,33,18,15,0.545
Chicago State,32,13,19,0.406
Cincinnati NCAA,34,27,7,0.794
Clemson,36,23,13,0.639
Cleveland State,33,21,12,0.636
Coastal Carolina NCAA,34,21,13,0.618
Colgate,31,13,18,0.419
College of Charleston,32,14,18,0.438
Colorado NCAA,35,23,12,0.657
Colorado State,32,16,16,0.5
Columbia,34,21,13,0.618
Connecticut NCAA,40,32,8,0.8
Coppin State,32,12,20,0.375
Cornell,28,2,26,0.071
Creighton NCAA,35,27,8,0.771
Dartmouth,28,12,16,0.429
Davidson,33,20,13,0.606
Dayton NCAA,37,26,11,0.703
Delaware NCAA,35,25,10,0.714
Delaware State,30,9,21,0.3
Denver,31,16,15,0.516
DePaul,33,12,21,0.364
Detroit Mercy,32,13,19,0.406
Drake,31,15,16,0.484
Drexel,30,16,14,0.533
Duke NCAA,35,26,9,0.743
Duquesne,30,13,17,0.433
East Carolina,34,17,17,0.5
East Tennessee State,35,19,16,0.543
Eastern Illinois,30,11,19,0.367
Eastern Kentucky NCAA,34,24,10,0.706
Eastern Michigan,37,22,15,0.595
Eastern Washington,31,15,16,0.484
Elon,32,18,14,0.563
Evansville,33,14,19,0.424
Fairfield,32,7,25,0.219
FDU,31,10,21,0.323
Florida NCAA,39,36,3,0.923
Florida A&M,32,14,18,0.438
Florida Atlantic,32,10,22,0.313
Florida Gulf Coast,35,22,13,0.629
Florida International,31,15,16,0.484
Florida State,36,22,14,0.611
Fordham,31,10,21,0.323
Fresno State,39,21,18,0.538
Furman,30,9,21,0.3
Gardner-Webb,33,18,15,0.545
George Mason,31,11,20,0.355
George Washington NCAA,33,24,9,0.727
Georgetown,33,18,15,0.545
Georgia,34,20,14,0.588
Georgia Southern,34,15,19,0.441
Georgia State,34,25,9,0.735
Georgia Tech,33,16,17,0.485
Gonzaga NCAA,36,29,7,0.806
Grambling,29,5,24,0.172
Grand Canyon,30,15,15,0.5
Green Bay,31,24,7,0.774
Hampton,31,18,13,0.581
Hartford,33,17,16,0.515
Harvard NCAA,32,27,5,0.844
Hawaii,31,20,11,0.645
High Point,31,16,15,0.516
Hofstra,33,10,23,0.303
Holy Cross,34,20,14,0.588
Houston,33,17,16,0.515
Houston Christian,31,6,25,0.194
Howard,33,8,25,0.242
Idaho,34,16,18,0.471
Idaho State,29,11,18,0.379
Illinois,35,20,15,0.571
Illinois State,34,18,16,0.529
Illinois-Chicago,31,6,25,0.194
Incarnate Word,27,21,6,0.778
Indiana,32,17,15,0.531
Indiana State,34,23,11,0.676
Iona,33,22,11,0.667
Iowa NCAA,33,20,13,0.606
Iowa State NCAA,36,28,8,0.778
IU Indy,32,6,26,0.188
Jackson State,31,11,20,0.355
Jacksonville,30,12,18,0.4
Jacksonville State,31,10,21,0.323
James Madison,31,11,20,0.355
Kansas NCAA,35,25,10,0.714
Kansas City,30,10,20,0.333
Kansas State NCAA,33,20,13,0.606
Kennesaw State,31,6,25,0.194
Kent State,32,16,16,0.5
Kentucky NCAA,40,29,11,0.725
La Salle,31,15,16,0.484
Lafayette,31,11,20,0.355
Lamar,30,4,26,0.133
Lehigh,32,14,18,0.438
Liberty,32,11,21,0.344
Lipscomb,30,15,15,0.5
Little Rock,32,15,17,0.469
Long Beach State,32,15,17,0.469
Long Island University,29,9,20,0.31
Longwood,32,8,24,0.25
Louisiana NCAA,35,23,12,0.657
Louisiana State,34,20,14,0.588
Louisiana Tech,37,29,8,0.784
Louisiana-Monroe,27,10,17,0.37
Louisville NCAA,37,31,6,0.838
Loyola (IL),32,10,22,0.313
Loyola (MD),30,11,19,0.367
Loyola Marymount,32,13,19,0.406
Maine,29,6,23,0.207
Manhattan NCAA,33,25,8,0.758
Marist,31,12,19,0.387
Marquette,32,17,15,0.531
Marshall,33,11,22,0.333
Maryland,32,17,15,0.531
Maryland-Baltimore County,30,9,21,0.3
Maryland-Eastern Shore,30,6,24,0.2
Massachusetts NCAA,33,24,9,0.727
Massachusetts-Lowell,28,10,18,0.357
McNeese State,31,11,20,0.355
Memphis NCAA,34,24,10,0.706
Mercer NCAA,36,27,9,0.75
Miami (FL),33,17,16,0.515
Miami (OH),31,13,18,0.419
Michigan NCAA,37,28,9,0.757
Michigan State NCAA,38,29,9,0.763
Middle Tennessee,33,24,9,0.727
Milwaukee NCAA,35,21,14,0.6
Minnesota,38,25,13,0.658
Mississippi,33,19,14,0.576
Mississippi State,33,14,19,0.424
Mississippi Valley State,32,9,23,0.281
Missouri,35,23,12,0.657
Missouri State,33,20,13,0.606
Monmouth,32,11,21,0.344
Montana,30,17,13,0.567
Montana State,31,14,17,0.452
Morehead State,34,20,14,0.588
Morgan State,31,15,16,0.484
Mount St. Mary's NCAA,33,16,17,0.485
Murray State,34,23,11,0.676
Navy,30,9,21,0.3
NC State NCAA,36,22,14,0.611
Nebraska NCAA,32,19,13,0.594
Nevada,32,15,17,0.469
Nevada-Las Vegas,33,20,13,0.606
New Hampshire,30,6,24,0.2
New Mexico NCAA,34,27,7,0.794
New Mexico State NCAA,36,26,10,0.722
New Orleans,26,11,15,0.423
Niagara,33,7,26,0.212
Nicholls State,29,14,15,0.483
NJIT,29,13,16,0.448
Norfolk State,34,19,15,0.559
North Carolina NCAA,34,24,10,0.706
North Carolina A&T,32,9,23,0.281
North Carolina Central NCAA,34,28,6,0.824
North Dakota,34,17,17,0.5
North Dakota State NCAA,33,26,7,0.788
North Florida,32,16,16,0.5
North Texas,32,16,16,0.5
Northeastern,32,11,21,0.344
Northern Arizona,32,15,17,0.469
Northern Colorado,32,18,14,0.563
Northern Illinois,32,15,17,0.469
Northern Iowa,31,16,15,0.516
Northern Kentucky,30,9,21,0.3
Northwestern,33,14,19,0.424
Northwestern State,31,17,14,0.548
Notre Dame,32,15,17,0.469
Oakland,33,13,20,0.394
Ohio,37,25,12,0.676
Ohio State NCAA,35,25,10,0.714
Oklahoma NCAA,33,23,10,0.697
Oklahoma State NCAA,34,21,13,0.618
Old Dominion,36,18,18,0.5
Omaha,32,17,15,0.531
Oral Roberts,33,17,16,0.515
Oregon NCAA,34,24,10,0.706
Oregon State,32,16,16,0.5
Pacific,34,18,16,0.529
Penn State,34,16,18,0.471
Pennsylvania,28,8,20,0.286
Pepperdine,31,15,16,0.484
Pittsburgh NCAA,36,26,10,0.722
Portland,31,15,16,0.484
Portland State,32,17,15,0.531
Prairie View,34,11,23,0.324
Presbyterian,32,6,26,0.188
Princeton,30,21,9,0.7
Providence NCAA,35,23,12,0.657
Purdue,32,15,17,0.469
Purdue Fort Wayne,36,25,11,0.694
Quinnipiac,32,20,12,0.625
Radford,35,22,13,0.629
Rhode Island,32,14,18,0.438
Rice,30,7,23,0.233
Richmond,33,19,14,0.576
Rider,31,14,17,0.452
Robert Morris,36,22,14,0.611
Rutgers,33,12,21,0.364
Sacramento State,30,14,16,0.467
Sacred Heart,31,5,26,0.161
Saint Francis (PA),31,10,21,0.323
Saint Joseph's NCAA,34,24,10,0.706
Saint Louis NCAA,34,27,7,0.794
Saint Mary's (CA),35,23,12,0.657
Saint Peter's,31,14,17,0.452
Sam Houston,35,24,11,0.686
Samford,33,13,20,0.394
San Diego,35,18,17,0.514
San Diego State NCAA,36,31,5,0.861
San Francisco,33,21,12,0.636
San Jose State,31,7,24,0.226
Santa Clara,33,14,19,0.424
Savannah State,32,13,19,0.406
Seattle,30,13,17,0.433
Seton Hall,34,17,17,0.5
Siena,38,20,18,0.526
South Alabama,31,11,20,0.355
South Carolina,34,14,20,0.412
South Carolina State,30,9,21,0.3
South Carolina Upstate,34,19,15,0.559
South Dakota,30,12,18,0.4
South Dakota State,32,19,13,0.594
South Florida,32,12,20,0.375
Southeast Missouri State,32,18,14,0.563
Southeastern Louisiana,30,12,18,0.4
Southern,32,19,13,0.594
Southern California,32,11,21,0.344
Southern Illinois,33,14,19,0.424
SIU Edwardsville,31,11,20,0.355
Southern Methodist,37,27,10,0.73
Southern Mississippi,36,29,7,0.806
Southern Utah,29,2,27,0.069
St. Bonaventure,33,18,15,0.545
St. Francis (NY),32,18,14,0.563
St. John's (NY),33,20,13,0.606
Stanford NCAA,36,23,13,0.639
Stephen F. Austin NCAA,35,32,3,0.914
Stetson,31,7,24,0.226
Stony Brook,34,23,11,0.676
Syracuse NCAA,34,28,6,0.824
TCU,31,9,22,0.29
Temple,31,9,22,0.29
Tennessee NCAA,37,24,13,0.649
Tennessee State,30,5,25,0.167
Tennessee Tech,33,17,16,0.515
Tennessee-Martin,31,8,23,0.258
Texas NCAA,35,24,11,0.686
Texas A&M,34,18,16,0.529
Texas A&M-Corpus Christi,34,18,16,0.529
Texas Southern NCAA,34,19,15,0.559
Texas State,31,8,23,0.258
Texas Tech,32,14,18,0.438
Texas-Rio Grande Valley,32,9,23,0.281
The Citadel,33,7,26,0.212
Toledo,34,27,7,0.794
Towson,36,25,11,0.694
Troy,31,11,20,0.355
Tulane,34,17,17,0.5
Tulsa NCAA,34,21,13,0.618
UAB,31,18,13,0.581
UC Davis,31,9,22,0.29
UC Irvine,35,23,12,0.657
UC Riverside,31,10,21,0.323
UC Santa Barbara,30,21,9,0.7
UCF,31,13,18,0.419
UCLA NCAA,37,28,9,0.757
UNC Asheville,32,17,15,0.531
UNC Greensboro,32,14,18,0.438
UNC Wilmington,32,9,23,0.281
UT Arlington,32,15,17,0.469
Utah,33,21,12,0.636
Utah State,32,18,14,0.563
Utah Valley,32,20,12,0.625
UTEP,34,23,11,0.676
UTSA,30,8,22,0.267
Valparaiso,34,18,16,0.529
Vanderbilt,31,15,16,0.484
Vermont,33,22,11,0.667
Villanova NCAA,34,29,5,0.853
Virginia NCAA,37,30,7,0.811
Virginia Commonwealth NCAA,35,26,9,0.743
VMI,35,22,13,0.629
Virginia Tech,31,9,22,0.29
Wagner,31,19,12,0.613
Wake Forest,33,17,16,0.515
Washington,32,17,15,0.531
Washington State,31,10,21,0.323
Weber State NCAA,31,19,12,0.613
West Virginia,33,17,16,0.515
Western Carolina,34,19,15,0.559
Western Illinois,30,10,20,0.333
Western Kentucky,32,20,12,0.625
Western Michigan NCAA,33,23,10,0.697
Wichita State NCAA,36,35,1,0.972
William & Mary,32,20,12,0.625
Winthrop,33,20,13,0.606
Wisconsin NCAA,38,30,8,0.789
Wofford NCAA,33,20,13,0.606
Wright State,36,21,15,0.583
Wyoming,33,18,15,0.545
Xavier NCAA,34,21,13,0.618
Yale,33,19,14,0.576
Youngstown State,32,15,17,0.469